Params: ThresholdParams(block_scale=30, sub_threshold=-20, retr_type=3L, retr_approx=3L, min_poly=3), score: 1622.07766517 (best: 1727.12489168)
Params: ThresholdParams(block_scale=40, sub_threshold=-40, retr_type=3L, retr_approx=3L, min_poly=3), score: 1725.82917729 (best: 1727.12489168)
Params: ThresholdParams(block_scale=40, sub_threshold=-30, retr_type=3L, retr_approx=3L, min_poly=3), score: 1714.21523037 (best: 1727.12489168)
Params: ThresholdParams(block_scale=40, sub_threshold=-20, retr_type=3L, retr_approx=3L, min_poly=3), score: 1704.43459871 (best: 1727.12489168)
Params: ThresholdParams(block_scale=20, sub_threshold=-40, retr_type=3L, retr_approx=3L, min_poly=5), score: 1636.28748119 (best: 1727.12489168)
Params: ThresholdParams(block_scale=20, sub_threshold=-30, retr_type=3L, retr_approx=3L, min_poly=5), score: 1625.66404239 (best: 1727.12489168)
Params: ThresholdParams(block_scale=20, sub_threshold=-20, retr_type=3L, retr_approx=3L, min_poly=5), score: 1456.44924389 (best: 1727.12489168)
Params: ThresholdParams(block_scale=30, sub_threshold=-40, retr_type=3L, retr_approx=3L, min_poly=5), score: 1652.86454248 (best: 1727.12489168)
Params: ThresholdParams(block_scale=30, sub_threshold=-30, retr_type=3L, retr_approx=3L, min_poly=5), score: 1689.82041884 (best: 1727.12489168)
Params: ThresholdParams(block_scale=30, sub_threshold=-20, retr_type=3L, retr_approx=3L, min_poly=5), score: 1609.05762581 (best: 1727.12489168)
Params: ThresholdParams(block_scale=40, sub_threshold=-40, retr_type=3L, retr_approx=3L, min_poly=5), score: 1705.96930663 (best: 1727.12489168)
Params: ThresholdParams(block_scale=40, sub_threshold=-30, retr_type=3L, retr_approx=3L, min_poly=5), score: 1694.81522448 (best: 1727.12489168)
Params: ThresholdParams(block_scale=40, sub_threshold=-20, retr_type=3L, retr_approx=3L, min_poly=5), score: 1686.88032469 (best: 1727.12489168)
Params: ThresholdParams(block_scale=20, sub_threshold=-40, retr_type=0L, retr_approx=3L, min_poly=3), score: 832.335649914 (best: 1727.12489168)
Params: ThresholdParams(block_scale=20, sub_threshold=-30, retr_type=0L, retr_approx=3L, min_poly=3), score: 812.633573001 (best: 1727.12489168)
Params: ThresholdParams(block_scale=20, sub_threshold=-20, retr_type=0L, retr_approx=3L, min_poly=3), score: 653.677558257 (best: 1727.12489168)
Params: ThresholdParams(block_scale=30, sub_threshold=-40, retr_type=0L, retr_approx=3L, min_poly=3), score: 863.876431539 (best: 1727.12489168)
Params: ThresholdParams(block_scale=30, sub_threshold=-30, retr_type=0L, retr_approx=3L, min_poly=3), score: 825.454179834 (best: 1727.12489168)
Params: ThresholdParams(block_scale=30, sub_threshold=-20, retr_type=0L, retr_approx=3L, min_poly=3), score: 783.161721008 (best: 1727.12489168)
Params: ThresholdParams(block_scale=40, sub_threshold=-40, retr_type=0L, retr_approx=3L, min_poly=3), score: 859.595891644 (best: 1727.12489168)
Params: ThresholdParams(block_scale=40, sub_threshold=-30, retr_type=0L, retr_approx=3L, min_poly=3), score: 850.614113147 (best: 1727.12489168)
Params: ThresholdParams(block_scale=40, sub_threshold=-20, retr_type=0L, retr_approx=3L, min_poly=3), score: 794.622372004 (best: 1727.12489168)
Params: ThresholdParams(block_scale=20, sub_threshold=-40, retr_type=0L, retr_approx=3L, min_poly=5), score: 0.0 (best: 1727.12489168)
Params: ThresholdParams(block_scale=20, sub_threshold=-30, retr_type=0L, retr_approx=3L, min_poly=5), score: 0.0 (best: 1727.12489168)
Params: ThresholdParams(block_scale=20, sub_threshold=-20, retr_type=0L, retr_approx=3L, min_poly=5), score: 0.0 (best: 1727.12489168)
Params: ThresholdParams(block_scale=30, sub_threshold=-40, retr_type=0L, retr_approx=3L, min_poly=5), score: 0.0 (best: 1727.12489168)
Params: ThresholdParams(block_scale=30, sub_threshold=-30, retr_type=0L, retr_approx=3L, min_poly=5), score: 0.0 (best: 1727.12489168)
Params: ThresholdParams(block_scale=30, sub_threshold=-20, retr_type=0L, retr_approx=3L, min_poly=5), score: 0.0 (best: 1727.12489168)
Params: ThresholdParams(block_scale=40, sub_threshold=-40, retr_type=0L, retr_approx=3L, min_poly=5), score: 0.0 (best: 1727.12489168)
Params: ThresholdParams(block_scale=40, sub_threshold=-30, retr_type=0L, retr_approx=3L, min_poly=5), score: 0.0 (best: 1727.12489168)
Params: ThresholdParams(block_scale=40, sub_threshold=-20, retr_type=0L, retr_approx=3L, min_poly=5), score: 0.0 (best: 1727.12489168)
ThresholdParams(block_scale=40, sub_threshold=-40, retr_type=1L, retr_approx=2L, min_poly=3)

Params: EdgeParams(min_edge_thres=50, max_edge_thres=170, retr_type=1L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 1830.57622161 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=170, retr_type=1L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 1830.57622161 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=200, retr_type=1L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 1826.24299076 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=200, retr_type=1L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 1826.24299076 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=230, retr_type=1L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 1817.46151293 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=230, retr_type=1L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 1817.46151293 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=170, retr_type=1L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 1823.10483766 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=170, retr_type=1L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 1823.10483766 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=200, retr_type=1L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 1822.81947829 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=200, retr_type=1L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 1822.81947829 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=230, retr_type=1L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 1813.71159291 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=230, retr_type=1L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 1813.71159291 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=100, max_edge_thres=170, retr_type=1L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 1801.31243558 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=100, max_edge_thres=170, retr_type=1L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 1801.31243558 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=100, max_edge_thres=200, retr_type=1L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 1804.27078707 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=100, max_edge_thres=200, retr_type=1L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 1804.27078707 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=100, max_edge_thres=230, retr_type=1L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 1798.61631842 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=100, max_edge_thres=230, retr_type=1L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 1798.61631842 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=170, retr_type=3L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 1830.57622161 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=170, retr_type=3L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 1830.57622161 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=200, retr_type=3L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 1826.24299076 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=200, retr_type=3L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 1826.24299076 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=230, retr_type=3L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 1817.46151293 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=230, retr_type=3L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 1817.46151293 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=170, retr_type=3L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 1823.10483766 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=170, retr_type=3L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 1823.10483766 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=200, retr_type=3L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 1822.81947829 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=200, retr_type=3L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 1822.81947829 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=230, retr_type=3L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 1813.71159291 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=230, retr_type=3L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 1813.71159291 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=100, max_edge_thres=170, retr_type=3L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 1801.31243558 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=100, max_edge_thres=170, retr_type=3L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 1801.31243558 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=100, max_edge_thres=200, retr_type=3L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 1804.27078707 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=100, max_edge_thres=200, retr_type=3L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 1804.27078707 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=100, max_edge_thres=230, retr_type=3L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 1798.61631842 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=100, max_edge_thres=230, retr_type=3L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 1798.61631842 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=170, retr_type=0L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 0.0 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=170, retr_type=0L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 0.0 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=200, retr_type=0L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 0.0 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=200, retr_type=0L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 0.0 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=230, retr_type=0L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 0.0 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=230, retr_type=0L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 0.0 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=170, retr_type=0L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 0.0 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=170, retr_type=0L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 0.0 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=200, retr_type=0L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 0.0 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=200, retr_type=0L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 0.0 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=230, retr_type=0L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 0.0 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=230, retr_type=0L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 0.0 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=100, max_edge_thres=170, retr_type=0L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 0.0 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=100, max_edge_thres=170, retr_type=0L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 0.0 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=100, max_edge_thres=200, retr_type=0L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 0.0 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=100, max_edge_thres=200, retr_type=0L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 0.0 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=100, max_edge_thres=230, retr_type=0L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 0.0 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=100, max_edge_thres=230, retr_type=0L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 0.0 (best: 1830.57622161)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=170, retr_type=1L, retr_approx=3L, min_poly=3, max_area_scale=1), score: 1832.86300901 (best: 1832.86300901)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=170, retr_type=1L, retr_approx=3L, min_poly=5, max_area_scale=1), score: 1832.86300901 (best: 1832.86300901)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=200, retr_type=1L, retr_approx=3L, min_poly=3, max_area_scale=1), score: 1828.55079223 (best: 1832.86300901)
